androsterone sulfate	11.0	9.0	8.0	8.0	6.0	8.0	8.0	6.0	8.0	6.0	8.0	9.0	7.0	8.0	9.0	8.0	8.0	7.0	9.0	5.0	1.0	7.0	9.0	9.0	8.0	9.0	9.0	8.0	8.0	8.0	8.0	6.0	9.0	10.0	9.0	8.0	7.0	6.0	8.0	9.0	8.0	0	8.0	8.0	7.0	8.0	8.0	8.0	9.0	9.0	8.0	7.0	7.0	8.0	9.0	8.0	8.0	4.0	8.0	6.0	7
arachidonate	9.0	5.0	4.0	7.0	4.0	4.0	4.0	5.0	3.0	6.0	4.0	10.0	5.0	5.0	5.0	4.0	6.0	7.0	5.0	4.0	7.0	4.0	8.0	5.0	4.0	1.0	5.0	4.0	5.0	4.0	4.0	6.0	5.0	7.0	5.0	4.0	5.0	6.0	4.0	6.0	4.0	8.0	0	4.0	4.0	4.0	4.0	5.0	6.0	5.0	4.0	3.0	7.0	4.0	5.0	6.0	4.0	4.0	5.0	4.0	5
pentadecanoate	9.0	5.0	4.0	6.0	3.0	4.0	4.0	4.0	4.0	8.0	4.0	11.0	6.0	5.0	5.0	4.0	6.0	6.0	5.0	3.0	7.0	3.0	9.0	6.0	4.0	5.0	5.0	4.0	4.0	4.0	4.0	6.0	5.0	8.0	6.0	4.0	5.0	6.0	4.0	6.0	4.0	8.0	4.0	0	4.0	5.0	4.0	4.0	5.0	5.0	4.0	4.0	6.0	4.0	5.0	6.0	4.0	4.0	4.0	4.0	5
L-glutamate(1-)	8.0	4.0	4.0	6.0	3.0	4.0	5.0	4.0	4.0	8.0	4.0	10.0	4.0	1.0	6.0	5.0	3.0	6.0	4.0	3.0	6.0	3.0	8.0	4.0	5.0	5.0	3.0	2.0	4.0	5.0	5.0	5.0	3.0	6.0	2.0	5.0	5.0	5.0	4.0	4.0	3.0	7.0	4.0	4.0	0	5.0	4.0	3.0	3.0	6.0	5.0	2.0	6.0	4.0	4.0	5.0	4.0	3.0	4.0	3.0	5
sn-Glycero-3-phosphocholine	7.0	6.0	5.0	5.0	4.0	5.0	6.0	4.0	5.0	6.0	5.0	8.0	4.0	6.0	7.0	6.0	6.0	7.0	7.0	3.0	7.0	4.0	7.0	7.0	6.0	3.0	7.0	6.0	5.0	6.0	6.0	7.0	7.0	6.0	7.0	6.0	5.0	7.0	5.0	7.0	5.0	8.0	4.0	5.0	5.0	0	5.0	5.0	6.0	7.0	6.0	5.0	6.0	5.0	5.0	6.0	5.0	6.0	5.0	5.0	5
Behenic acid	9.0	5.0	4.0	6.0	3.0	4.0	4.0	4.0	4.0	8.0	4.0	11.0	6.0	5.0	5.0	4.0	6.0	6.0	5.0	3.0	7.0	3.0	9.0	6.0	4.0	5.0	5.0	4.0	4.0	4.0	4.0	6.0	5.0	8.0	6.0	4.0	5.0	6.0	4.0	6.0	4.0	8.0	4.0	4.0	4.0	5.0	0	4.0	5.0	5.0	4.0	4.0	6.0	3.0	5.0	6.0	3.0	4.0	4.0	4.0	5
(S)-malate(2-)	7.0	4.0	4.0	6.0	2.0	4.0	5.0	4.0	4.0	7.0	4.0	9.0	5.0	4.0	6.0	5.0	3.0	4.0	5.0	3.0	7.0	1.0	7.0	5.0	5.0	6.0	5.0	4.0	2.0	5.0	5.0	4.0	5.0	7.0	5.0	5.0	4.0	4.0	4.0	4.0	3.0	8.0	5.0	4.0	3.0	5.0	4.0	0	5.0	6.0	5.0	3.0	6.0	4.0	3.0	4.0	4.0	4.0	2.0	2.0	5
L-histidine	7.0	6.0	5.0	7.0	4.0	5.0	6.0	5.0	5.0	9.0	4.0	12.0	5.0	4.0	7.0	6.0	5.0	7.0	7.0	4.0	8.0	4.0	10.0	7.0	6.0	7.0	6.0	5.0	5.0	6.0	6.0	7.0	6.0	6.0	5.0	6.0	5.0	7.0	5.0	6.0	5.0	9.0	6.0	5.0	3.0	6.0	5.0	5.0	0	7.0	6.0	5.0	7.0	5.0	6.0	6.0	5.0	6.0	5.0	5.0	6
L-valine	10.0	6.0	5.0	8.0	5.0	5.0	5.0	6.0	5.0	9.0	5.0	13.0	6.0	6.0	6.0	1.0	7.0	8.0	6.0	5.0	8.0	5.0	10.0	6.0	5.0	6.0	6.0	5.0	6.0	5.0	5.0	7.0	6.0	8.0	6.0	5.0	6.0	7.0	5.0	7.0	5.0	9.0	5.0	5.0	6.0	7.0	5.0	6.0	7.0	0	5.0	4.0	8.0	5.0	6.0	7.0	5.0	5.0	6.0	5.0	7
3-methyl-2-oxopentanoate	9.0	5.0	4.0	7.0	4.0	4.0	4.0	5.0	4.0	8.0	4.0	12.0	5.0	5.0	1.0	4.0	6.0	7.0	5.0	4.0	7.0	4.0	9.0	5.0	4.0	5.0	5.0	4.0	5.0	4.0	4.0	6.0	5.0	7.0	5.0	4.0	5.0	6.0	4.0	6.0	4.0	8.0	4.0	4.0	5.0	6.0	4.0	5.0	6.0	5.0	0	3.0	7.0	4.0	5.0	6.0	4.0	4.0	5.0	4.0	6
Glycine	6.0	5.0	4.0	6.0	3.0	4.0	3.0	4.0	4.0	8.0	4.0	9.0	2.0	3.0	4.0	3.0	4.0	4.0	2.0	3.0	6.0	2.0	7.0	2.0	3.0	4.0	4.0	3.0	3.0	5.0	5.0	3.0	4.0	4.0	2.0	5.0	4.0	3.0	4.0	3.0	4.0	7.0	3.0	4.0	2.0	5.0	4.0	3.0	5.0	4.0	3.0	0	5.0	4.0	2.0	3.0	4.0	3.0	3.0	1.0	5
D-Mannose	10.0	7.0	6.0	3.0	5.0	6.0	7.0	5.0	6.0	5.0	6.0	8.0	6.0	7.0	8.0	7.0	7.0	8.0	7.0	4.0	6.0	5.0	6.0	7.0	7.0	7.0	8.0	7.0	6.0	7.0	7.0	2.0	8.0	9.0	7.0	7.0	5.0	4.0	6.0	8.0	6.0	7.0	7.0	6.0	6.0	6.0	6.0	6.0	7.0	8.0	7.0	5.0	0	6.0	7.0	8.0	6.0	4.0	6.0	4.0	6
arachidate	9.0	5.0	4.0	6.0	3.0	3.0	4.0	4.0	4.0	8.0	4.0	11.0	6.0	5.0	5.0	4.0	6.0	6.0	5.0	3.0	7.0	3.0	9.0	6.0	4.0	5.0	5.0	4.0	4.0	4.0	4.0	6.0	5.0	8.0	6.0	4.0	5.0	6.0	4.0	6.0	4.0	8.0	4.0	4.0	4.0	5.0	3.0	4.0	5.0	5.0	4.0	4.0	6.0	0	5.0	6.0	4.0	4.0	4.0	4.0	5
glycolate	8.0	6.0	5.0	6.0	4.0	5.0	5.0	5.0	5.0	8.0	5.0	7.0	4.0	5.0	6.0	5.0	6.0	5.0	4.0	4.0	8.0	2.0	7.0	4.0	5.0	6.0	5.0	4.0	3.0	6.0	6.0	5.0	5.0	6.0	4.0	6.0	6.0	5.0	5.0	5.0	5.0	9.0	5.0	5.0	4.0	5.0	5.0	3.0	6.0	6.0	5.0	2.0	7.0	5.0	0	5.0	5.0	5.0	2.0	3.0	6
L-tyrosine	3.0	6.0	6.0	8.0	5.0	6.0	4.0	5.0	6.0	8.0	6.0	11.0	5.0	6.0	7.0	6.0	7.0	2.0	3.0	5.0	7.0	3.0	9.0	1.0	6.0	7.0	6.0	5.0	4.0	7.0	7.0	6.0	6.0	6.0	5.0	7.0	5.0	6.0	6.0	6.0	5.0	8.0	6.0	6.0	5.0	6.0	6.0	4.0	6.0	7.0	6.0	3.0	8.0	6.0	5.0	0	6.0	6.0	4.0	4.0	5
